Date OMX,Close/Last OMX,Open OMX,High OMX,Low OMX,Date NASDAQ,Close/Last NASDAQ,Open NASDAQ,High NASDAQ,Low NASDAQ
12/07/2021,2386.19,2386.19,2387.68,2341.33,12/07/2021,16325.66,16139.56,16343.67,16128.44
12/06/2021,2320.05,2320.05,2326.56,2295.43,12/06/2021,15846.16,15744.91,15898.59,15557.78
12/03/2021,2286.27,2319.68,2324,2284.52,12/03/2021,15712.04,16039.41,16089.61,15543.31
12/02/2021,2311.75,2311.75,2328.05,2291.34,12/02/2021,15990.76,15791.3,16066.32,15770.92
12/01/2021,2345.6,2345.6,2347.46,2316.72,12/01/2021,15877.72,16347.96,16427.19,15864
11/30/2021,2307.87,2307.87,2332.61,2295.51,11/30/2021,16135.92,16333.95,16454.56,16073.76
11/29/2021,2335.08,2335.08,2347.17,2312,11/29/2021,16399.24,16263.43,16437.16,16214.56
11/26/2021,2314.38,2327.95,2339.72,2297.52,11/26/2021,16025.58,16237.41,16302.58,15988.95
11/24/2021,2393.34,2382.08,2400.63,2379.87,11/24/2021,16367.81,16202.26,16370.56,16106.02
11/23/2021,2383.09,2383.09,2418.91,2380.66,11/23/2021,16306.72,16330.18,16417.5,16121.7
11/22/2021,2440,2440,2459.96,2437.68,11/22/2021,16380.98,16644.77,16764.86,16374.78
11/19/2021,2450.73,2448.7,2464.84,2443.3,11/19/2021,16573.34,16558.56,16625.86,16523.83
11/18/2021,2451.97,2451.97,2477.24,2448.03,11/18/2021,16482.97,16398.76,16501.92,16309.51
11/17/2021,2471.3,2471.3,2473.57,2453.38,11/17/2021,16308.07,16329.07,16398.95,16276.77
11/16/2021,2462.51,2462.51,2468.45,2454.53,11/16/2021,16309.77,16170.29,16329.5,16156.69
11/15/2021,2457.77,2457.77,2457.96,2446.41,11/15/2021,16189.12,16227.01,16256.73,16096.37
11/12/2021,2458.33,2455.52,2458.68,2445.79,11/12/2021,16199.89,16078.13,16218.55,16012.78
11/11/2021,2449.13,2449.13,2450.75,2422.33,11/11/2021,16032.47,16114.05,16116.25,16019.39
11/10/2021,2427.3,2427.3,2435.78,2415.47,11/10/2021,15985.57,16087.01,16224.51,15905.28
11/09/2021,2437.04,2437.04,2452.42,2432.94,11/09/2021,16219.94,16389.99,16401.89,16168.63
11/08/2021,2443.86,2443.86,2449.71,2427.74,11/08/2021,16336.03,16351.49,16401.93,16314
11/05/2021,2428.21,2425.2,2452.18,2423.69,11/05/2021,16359.38,16397.59,16454.48,16302.06
11/04/2021,2447.3,2447.3,2454.32,2440.65,11/04/2021,16346.24,16193.22,16387.95,16169.56
11/03/2021,2429.65,2429.65,2429.65,2401.12,11/03/2021,16144.5,16000.6,16157.6,15950.59
11/02/2021,2415.37,2415.37,2421.72,2399.08,11/02/2021,15972.49,15885.34,15988.33,15877.27
11/01/2021,2412.38,2412.38,2415.89,2401.63,11/01/2021,15905.28,15879.61,15910.35,15785.31
10/29/2021,2399.72,2384.4,2405.98,2375.29,10/29/2021,15850.47,15638.74,15856.9,15638.74
10/28/2021,2405.03,2405.03,2405.11,2387.99,10/28/2021,15778.16,15674.39,15784,15650.01
10/27/2021,2402.89,2402.89,2421.16,2395.89,10/27/2021,15598.39,15603.16,15729.75,15578.68
10/26/2021,2418.72,2418.72,2420.73,2402.34,10/26/2021,15559.49,15615.36,15710.79,15518.59
10/25/2021,2409.25,2409.25,2423.76,2398.65,10/25/2021,15514.19,15417.25,15555.65,15338.49
10/22/2021,2420.6,2421.22,2424.55,2388.78,10/22/2021,15355.07,15422.07,15474.28,15291.95
10/21/2021,2392.17,2392.17,2393.83,2375.9,10/21/2021,15489.59,15365.81,15497.58,15350.5
10/20/2021,2391.34,2391.34,2391.51,2374.48,10/20/2021,15388.71,15448,15457.11,15333.43
10/19/2021,2384.83,2384.83,2386.39,2364.28,10/19/2021,15410.72,15349.45,15414.97,15320.62
10/18/2021,2365.28,2365.28,2373.02,2354.26,10/18/2021,15300.89,15091.58,15307.51,15074.71
10/15/2021,2369.88,2358.97,2369.88,2348.37,10/15/2021,15146.92,15106.97,15150.14,15064.59
10/14/2021,2345.59,2345.59,2352.4,2335.91,10/14/2021,15052.42,14925.58,15059.89,14901.59
10/13/2021,2329.68,2329.68,2332.17,2283.42,10/13/2021,14774.6,14751.8,14800.83,14676.58
10/12/2021,2291.39,2291.39,2300.05,2260.3,10/12/2021,14662.11,14772.29,14784.78,14636.33
10/11/2021,2283.75,2283.75,2286.02,2263.71,10/11/2021,14713.73,14765.69,14907.57,14709.05
10/08/2021,2289.65,2296.5,2306.64,2286.68,10/08/2021,14820.75,14942.36,14948.35,14805.5
10/07/2021,2299.97,2299.97,2303.2,2279.14,10/07/2021,14897.13,14899.07,15010.32,14878.22
10/06/2021,2264.38,2264.38,2275.47,2238.37,10/06/2021,14766.75,14529.89,14775.64,14499.48
10/05/2021,2286.64,2286.64,2286.67,2258.17,10/05/2021,14674.15,14533.43,14763.64,14520.23
10/04/2021,2263.76,2263.76,2287.02,2262.62,10/04/2021,14472.12,14713.6,14727.6,14384.93
10/01/2021,2279.3,2282.66,2290.19,2256.48,10/01/2021,14791.87,14731.38,14830.84,14555.12
09/30/2021,2296.62,2296.62,2316.19,2287.25,09/30/2021,14689.62,14830.3,14888.22,14684.55
09/29/2021,2288.42,2288.42,2311.7,2288.42,09/29/2021,14752.89,14835.51,14914.92,14727.41
09/28/2021,2276.26,2276.26,2331.63,2276.26,09/28/2021,14770.3,15001.98,15040.57,14758.98
09/27/2021,2337.56,2337.56,2375.11,2334.68,09/27/2021,15204.82,15205.23,15240.58,15106.45
09/24/2021,2358.27,2351.95,2384.33,2351.27,09/24/2021,15329.68,15222.97,15345.54,15209.16
09/23/2021,2388.89,2388.89,2396.09,2373.19,09/23/2021,15316.58,15231.2,15356.92,15199.43
09/22/2021,2354.29,2354.29,2359.2,2341.88,09/22/2021,15176.51,15073.96,15230.34,15029.9
09/21/2021,2335.32,2335.32,2341.9,2313.77,09/21/2021,15027.77,15096.97,15139.9,14986.98
09/20/2021,2310.51,2310.51,2330.45,2291.1,09/20/2021,15012.19,15068.65,15157.26,14821.03
09/17/2021,2352.5,2374.94,2397.35,2352.03,09/17/2021,15333.47,15481.43,15485.21,15291.04
09/16/2021,2379.72,2379.72,2388.34,2363.62,09/16/2021,15515.91,15452.67,15539.14,15370.88
09/15/2021,2365.8,2365.8,2386.32,2361.76,09/15/2021,15503.53,15419.95,15518.95,15316.4
09/14/2021,2379.46,2379.46,2384.77,2370.37,09/14/2021,15382.9,15505.78,15525.97,15352.06
09/13/2021,2378.13,2378.13,2390.28,2376.37,09/13/2021,15434.5,15545.66,15562.28,15351.7
09/10/2021,2377.52,2390.17,2393.97,2376.21,09/10/2021,15440.75,15648.05,15673.5,15433.43
09/09/2021,2389.96,2389.96,2398.99,2373.36,09/09/2021,15561.05,15639.44,15675.46,15556.74
09/08/2021,2392.05,2392.05,2414.27,2389.32,09/08/2021,15620.85,15669.01,15669.01,15528.45
09/07/2021,2424.64,2424.64,2434.92,2417.22,09/07/2021,15675.76,15662.3,15701.4,15610.23
09/03/2021,2432.64,2420.48,2435.06,2420.48,09/03/2021,15652.86,15578.96,15668.12,15554.97
09/02/2021,2424.35,2424.35,2425.39,2402.31,09/02/2021,15604.25,15656.28,15681.76,15554.29
09/01/2021,2400.8,2400.8,2412.77,2393.25,09/01/2021,15611.57,15637.13,15696.42,15603.67
08/31/2021,2388.28,2388.28,2428.5,2388.28,08/31/2021,15582.51,15601.34,15604.45,15522.78
08/30/2021,2419.33,2419.33,2420.52,2406.8,08/30/2021,15605.09,15460.93,15620.62,15459.74
08/27/2021,2412.68,2404.67,2415.16,2402.98,08/27/2021,15432.95,15305.75,15447.03,15292.74
08/26/2021,2412.57,2412.57,2417.14,2403.4,08/26/2021,15278.52,15348.98,15369.28,15265.23
08/25/2021,2413.23,2413.23,2420,2407.81,08/25/2021,15368.92,15384.83,15404.36,15341.92
08/24/2021,2417.26,2417.26,2432.6,2412.85,08/24/2021,15357.68,15338.92,15384.42,15319.55
08/23/2021,2425.89,2425.89,2425.94,2408.08,08/23/2021,15312.82,15140.14,15341.47,15140.14
08/20/2021,2409.09,2393.94,2411.02,2376.84,08/20/2021,15092.57,14974.06,15103.94,14968.87
08/19/2021,2387.54,2387.54,2402.21,2370.73,08/19/2021,14933.94,14773.19,15000.19,14773.19
08/18/2021,2422.16,2422.16,2426.92,2412.89,08/18/2021,14857.92,14975.02,15039.9,14846.51
08/17/2021,2417.45,2417.45,2420.42,2395.63,08/17/2021,15002.83,15018.94,15062.7,14906.22
08/16/2021,2403.21,2403.21,2415.35,2397.82,08/16/2021,15140.77,15090.05,15142.03,14931.15
08/13/2021,2420.33,2417.44,2422.4,2411.02,08/13/2021,15136.68,15101.84,15150.48,15079.3
08/12/2021,2410.67,2410.67,2411.28,2402.06,08/12/2021,15088.98,15012.6,15097.91,14956.25
08/11/2021,2405.73,2405.73,2408.14,2394.7,08/11/2021,15027.76,15101.82,15127.78,14972.6
08/10/2021,2400.95,2400.95,2409.59,2398.39,08/10/2021,15053.58,15157.37,15169.45,15010.16
08/09/2021,2397.51,2397.51,2399.55,2383.27,08/09/2021,15133.11,15136.14,15154.68,15081.75
08/06/2021,2389.61,2391.56,2405.29,2387.81,08/06/2021,15109.36,15125.74,15162.34,15063.02
08/05/2021,2409.3,2409.3,2411.84,2398.07,08/05/2021,15181.64,15105.4,15184.27,15083.83
08/04/2021,2391.73,2391.73,2393.25,2365.08,08/04/2021,15083.39,15059.16,15117.38,15017.14
08/03/2021,2358.05,2358.05,2363.92,2350.63,08/03/2021,15061.42,14997.2,15063.66,14864.53
08/02/2021,2356.76,2356.76,2366.52,2345.62,08/02/2021,14963.62,14959.9,15059.89,14945.13
07/30/2021,2347.67,2353.58,2354.88,2329.03,07/30/2021,14959.9,14882.39,14990.86,14882.39
07/29/2021,2353.36,2353.36,2365.63,2350.66,07/29/2021,15048.36,15015.3,15091.96,15004.42
07/28/2021,2349.74,2349.74,2350.93,2334.36,07/28/2021,15018.1,15005.17,15078.85,14913.55
07/27/2021,2335.94,2335.94,2349.25,2328.57,07/27/2021,14956.97,15103.01,15107.74,14787.8
07/26/2021,2352.71,2352.71,2357.12,2347.26,07/26/2021,15125.95,15088.28,15142.35,15048.23
07/23/2021,2353.3,2347.76,2353.3,2333.99,07/23/2021,15111.79,15004.43,15125.84,14948.04
07/22/2021,2335.8,2335.8,2336.42,2314.9,07/22/2021,14940.17,14865.46,14941.38,14865.46
07/21/2021,2314.74,2314.74,2316.28,2294.24,07/21/2021,14842.63,14723.67,14843.17,14710.11
07/20/2021,2282.3,2282.3,2292.35,2261.78,07/20/2021,14728.21,14601.33,14790.6,14530.78
07/19/2021,2269.45,2269.45,2301.29,2261.99,07/19/2021,14549.09,14517.96,14578.96,14455.07
07/16/2021,2307.16,2310.77,2323.54,2300.03,07/16/2021,14681.38,14842.08,14875.97,14667.1
07/15/2021,2318.07,2318.07,2340.3,2313.91,07/15/2021,14794.69,14903.49,14907.51,14717.55
07/14/2021,2338.68,2338.68,2339.53,2323.2,07/14/2021,14900.44,14984.86,15001.13,14871.73
07/13/2021,2337.04,2337.04,2340.95,2323.79,07/13/2021,14874.54,14871.04,15002.28,14843.8
07/12/2021,2328.88,2328.88,2328.9,2302.21,07/12/2021,14877.89,14878.71,14899.46,14813.79
07/09/2021,2307.95,2293.06,2309.47,2289.93,07/09/2021,14826.09,14709.32,14838.72,14685.54
07/08/2021,2291.2,2291.2,2312.54,2282.15,07/08/2021,14722.14,14577.67,14763.67,14551.76
07/07/2021,2315.35,2315.35,2317.48,2298.47,07/07/2021,14810.54,14889.76,14891.19,14735.75
07/06/2021,2288.85,2288.85,2306.78,2286.04,07/06/2021,14786.36,14755.15,14797.45,14635.31
07/02/2021,2287.61,2281.25,2288.46,2269.37,07/02/2021,14727.63,14633.51,14738.14,14626.82
07/01/2021,2271.6,2271.6,2277.71,2253.31,07/01/2021,14560.05,14530.63,14576.64,14483.42
06/30/2021,2253.49,2253.49,2277.09,2245.44,06/30/2021,14554.8,14560.07,14582.3,14530.87
06/29/2021,2267.47,2267.47,2273.33,2247.59,06/29/2021,14572.75,14523.63,14575.19,14481.84
06/28/2021,2250,2250,2261.59,2250,06/28/2021,14524.98,14401.63,14530.07,14400.59
06/25/2021,2250.1,2251.1,2253.76,2247.52,06/25/2021,14345.18,14396.63,14401.71,14324.26
06/24/2021,2253.18,2253.18,2254.53,2228.71,06/24/2021,14365.96,14358.3,14429.14,14337.65
06/23/2021,2225.54,2225.54,2255.34,2225.54,06/23/2021,14274.24,14275.09,14324.74,14247.58
06/22/2021,2247.36,2247.36,2249.56,2231.71,06/22/2021,14270.42,14140.3,14288.49,14128.01
06/21/2021,2240.57,2240.57,2241.27,2204.11,06/21/2021,14137.23,14055.04,14150.91,13967.89
06/18/2021,2221.28,2229.98,2260.61,2220.17,06/18/2021,14049.58,14125.12,14140.61,14024.6
06/17/2021,2248.13,2248.13,2253.34,2233.5,06/17/2021,14163.81,13946.7,14205.43,13946.52
06/16/2021,2266.42,2266.42,2271.61,2258.21,06/16/2021,13983.01,14053.12,14100.11,13843.6
06/15/2021,2260.46,2260.46,2276.9,2256.65,06/15/2021,14030.41,14120.81,14126.26,14008.93
06/14/2021,2260.89,2260.89,2270.39,2253.47,06/14/2021,14128.2,14002.14,14129.33,13963.94
06/11/2021,2252.65,2255.45,2260.38,2248.5,06/11/2021,13998.3,13959.47,13998.65,13934
06/10/2021,2245.07,2245.07,2248.95,2230.79,06/10/2021,13960.35,13834.26,13962.98,13817.83
06/09/2021,2243.74,2243.74,2244.91,2234.17,06/09/2021,13814.94,13865.51,13900.71,13811.05
06/08/2021,2237.96,2237.96,2246.88,2224.8,06/08/2021,13810.86,13873.46,13913.4,13746.42
06/07/2021,2234.92,2234.92,2240.9,2226.74,06/07/2021,13802.89,13744.15,13808.42,13710.11
06/04/2021,2231.85,2224.85,2234.99,2217.74,06/04/2021,13770.77,13619.79,13784.77,13613.58
06/03/2021,2222.4,2222.4,2223.71,2199.82,06/03/2021,13529.68,13568.91,13608.54,13469.85
06/02/2021,2216.85,2216.85,2230.42,2212.56,06/02/2021,13675.79,13655.71,13712.68,13610.16
06/01/2021,2215.98,2215.98,2229.77,2205.2,06/01/2021,13654.59,13764.27,13773.45,13602.12
05/28/2021,2195.57,2212.2,2213.82,2195.56,05/28/2021,13686.51,13717,13765.8,13684.83
05/27/2021,2195.53,2195.53,2204.44,2188.67,05/27/2021,13657.85,13686.86,13724.76,13652.13
05/26/2021,2194.5,2194.5,2212.95,2188.87,05/26/2021,13702.74,13687.71,13726.06,13661.06
05/25/2021,2205.9,2205.9,2220.08,2205.9,05/25/2021,13657.73,13701.3,13734.41,13614.54
05/24/2021,2205.45,2205.45,2211.57,2200.28,05/24/2021,13641.75,13504.39,13687.6,13500.12
05/21/2021,2208.59,2212.3,2215.55,2195.17,05/21/2021,13411.74,13573.22,13573.84,13401.53
05/20/2021,2195.12,2195.12,2195.76,2161.23,05/20/2021,13494.09,13294.59,13526.01,13293.1
05/19/2021,2159.6,2159.6,2177.75,2148.03,05/19/2021,13237.91,12998.53,13243.98,12994.35
05/18/2021,2194.35,2194.35,2199.8,2188.02,05/18/2021,13217.68,13352.26,13400.52,13212.85
05/17/2021,2180.59,2180.59,2187.4,2163.92,05/17/2021,13312.91,13329.86,13350.14,13196.57
05/14/2021,2172.62,2165.76,2172.88,2149.49,05/14/2021,13312.91,13238.99,13430,13220.19
05/13/2021,2146.47,2146.47,2147.16,2143.06,05/13/2021,13109.15,13133.73,13226.64,13006.77
05/12/2021,2146.63,2146.63,2164.37,2140.04,05/12/2021,13001.63,13155.07,13236.89,12967.18
05/11/2021,2138.45,2138.45,2172.99,2127.23,05/11/2021,13351.27,13102.64,13381.66,13094.76
